Fabricant;Référence;Désignation;Quantité;P.U. Tarif;P.U. Net;Total Net
Legrand;3901;Télécommande standard jusqu'à 300 blocs;1;216,00;216,00;216,00
Legrand;4879;Répartiteur modulaire 4P 160A;1;174,00;174,00;174,00
Legrand;4888;Répartiteur modulaire 4P 125A;1;55,60;55,60;55,60
Legrand;20051;Obturateurs 24 modules;4;8,14;8,14;32,56
Legrand;20108;Coffret équipable XL³ 400 métallique H1500;1;582,00;582,00;582,00
Legrand;20128;Gaine à câbles H1500;1;535,00;535,00;535,00
Legrand;20148;Plastron métal plein H1450 pour gaine;1;215,00;215,00;215,00
Legrand;20168;Porte pour gaine à câbles H1600;1;290,00;290,00;290,00
Legrand;20201;Support + rail 24 modules , fixe;7;23,70;23,70;165,90
Legrand;20211;Platine DPX³ 160/250;1;76,40;76,40;76,40
Legrand;20258;Porte galbée pleine métal H1600;1;466,00;466,00;466,00
Legrand;20300;Plastron métal  24 modules H 150;7;45,00;45,00;315,00
Legrand;20310;Plastron métal 24 modules H 300;1;69,50;69,50;69,50
Legrand;20341;Plastron métal plein H100;1;41,60;41,60;41,60
Legrand;37302;Barre CU 12X4 + connecteurs;1;165,00;165,00;165,00
Legrand;37385;Kit de liaison de terre;2;17,10;17,10;34,20
Legrand;405200;Peigne tétrapolaire 6 modules auto;3;15,90;15,90;47,70
Legrand;405201;Peigne tétrapolaire 12 modules auto;2;21,40;21,40;42,80
Legrand;405226;Réhausse de rail DPX³ 160/250 et DPX-IS 250 - 20 mod;1;18,10;18,10;18,10
Legrand;406278;Declencheur à émission de courant DX³ 110 à 415V AC;2;75,40;75,40;150,80
Legrand;406774;Disj DNX³ 4500/6kA 1P+N C 16A;3;19,80;19,80;59,40
Legrand;406775;Disj DNX³ 4500/6kA 1P+N C 20A;5;19,80;19,80;99,00
Legrand;406881;Disj DNX³ 4500/6kA 1P+N C 10A auto/vis;16;19,80;19,80;316,80
Legrand;406883;Disj DNX³ 4500/6kA 1P+N C 16A auto/vis;11;19,80;19,80;217,80
Legrand;406884;Disj DNX³ 4500/6kA 1P+N C 20A auto/vis;1;19,80;19,80;19,80
Legrand;407899;Disj DX³ 6000/10kA 4P C 20A;2;137,00;137,00;274,00
Legrand;407901;Disj DX³ 6000/10kA 4P C 32A;1;148,00;148,00;148,00
Legrand;407913;Disj DX³ 6000/10kA 4P C 10A auto/vis;3;124,00;124,00;372,00
Legrand;407914;Disj DX³ 6000/10kA 4P C 16A auto/vis;1;124,00;124,00;124,00
Legrand;408119;Disj DX³ 6000/10kA 4P D 25A;1;209,00;209,00;209,00
Legrand;409880;Disj DX³ 25kA 3P MA 10A;1;290,00;290,00;290,00
Legrand;410517;Bloc diff. 300mA Type AC 40A auto pour 4P 4 mod.;1;222,00;222,00;222,00
Legrand;410704;Disj diff DX³ 4500/6kA 1P+N C 10A 30mA Type AC;1;198,00;198,00;198,00
Legrand;411192;Disj diff DX³ 6000/10kA 4P C 63A 30mA Type AC;1;803,00;803,00;803,00
Legrand;411201;Disj diff DX³ 6000/10kA 4P C 40A 30mA Type AC auto tête;2;427,00;427,00;854,00
Legrand;411217;Disj diff DX³ 6000/10kA 4P C 20A 300mA Type AC auto tête;2;341,00;341,00;682,00
Legrand;412654;Int crépusculaire Astronomique_1OF;1;222,00;222,00;222,00
Legrand;420199;Inter DPX³-I 160 4P 160A;1;756,00;756,00;756,00
Legrand;420731;Disj diff. LCD DPX³250 AB 36kA 4P 130A;1;2290,00;2290,00;2290,00
Legrand;421016;Déclencheur DPX³ à émission courant 200-277V ac/dc;1;96,80;96,80;96,80
Legrand;421057;Cache borne plombables  4P DPX³250;1;70,90;70,90;70,90
Legrand;421071;Platine de fixation DPX³160 sur rail;1;13,00;13,00;13,00
